adoptus,immfate,letin1a,letinhsp1,letinasn1,age,sex,race,born,parborn
,,,,,23.0,female,white,,
,,,,,70.0,male,white,,
,,,,,48.0,female,white,,
,,,,,27.0,female,white,,
,,,,,61.0,female,white,,
,,,,,26.0,male,white,,
,,,,,28.0,male,white,,
,,,,,27.0,male,white,,
,,,,,21.0,female,black,,
,,,,,30.0,female,black,,
,,,,,30.0,female,black,,
,,,,,56.0,male,black,,
,,,,,54.0,male,black,,
,,,,,49.0,female,black,,
,,,,,41.0,male,black,,
,,,,,54.0,male,black,,
,,,,,24.0,male,white,,
,,,,,62.0,female,white,,
,,,,,46.0,female,white,,
,,,,,21.0,female,white,,
,,,,,57.0,male,white,,
,,,,,58.0,male,white,,
,,,,,21.0,male,white,,
,,,,,26.0,female,white,,
,,,,,71.0,female,white,,
,,,,,53.0,female,white,,
,,,,,42.0,male,white,,
,,,,,42.0,female,white,,
,,,,,20.0,male,white,,
,,,,,23.0,male,white,,
,,,,,26.0,male,white,,
,,,,,25.0,female,white,,
,,,,,26.0,male,white,,
,,,,,78.0,female,white,,
,,,,,21.0,male,white,,
,,,,,27.0,male,white,,
,,,,,58.0,female,white,,
,,,,,35.0,female,white,,
,,,,,58.0,male,white,,
,,,,,51.0,female,white,,
,,,,,76.0,female,white,,
,,,,,53.0,male,white,,
,,,,,39.0,male,white,,
,,,,,64.0,female,white,,
,,,,,50.0,female,white,,
,,,,,27.0,female,white,,
,,,,,25.0,male,white,,
,,,,,49.0,male,white,,
,,,,,40.0,male,white,,
,,,,,43.0,male,white,,
,,,,,46.0,male,white,,
,,,,,37.0,male,white,,
,,,,,46.0,male,white,,
,,,,,22.0,female,white,,
,,,,,53.0,female,white,,
,,,,,35.0,male,white,,
,,,,,31.0,female,white,,
,,,,,30.0,female,white,,
,,,,,37.0,female,white,,
,,,,,57.0,female,white,,
,,,,,39.0,male,white,,
,,,,,62.0,female,white,,
,,,,,51.0,male,white,,
,,,,,43.0,male,white,,
,,,,,39.0,male,white,,
,,,,,52.0,female,white,,
,,,,,30.0,male,white,,
,,,,,47.0,female,white,,
,,,,,31.0,female,white,,
,,,,,25.0,male,white,,
,,,,,45.0,male,white,,
,,,,,30.0,female,white,,
,,,,,68.0,male,white,,
,,,,,63.0,female,white,,
,,,,,19.0,male,white,,
,,,,,23.0,male,white,,
,,,,,46.0,female,white,,
,,,,,55.0,female,white,,
,,,,,22.0,male,white,,
,,,,,55.0,female,white,,
,,,,,44.0,male,white,,
,,,,,41.0,female,white,,
,,,,,49.0,male,white,,
,,,,,28.0,female,white,,
,,,,,21.0,male,white,,
,,,,,26.0,male,white,,
,,,,,31.0,female,white,,
,,,,,28.0,female,white,,
,,,,,26.0,male,white,,
,,,,,20.0,female,black,,
,,,,,25.0,male,white,,
,,,,,57.0,female,white,,
,,,,,58.0,female,white,,
,,,,,54.0,male,white,,
,,,,,35.0,female,white,,
,,,,,40.0,male,white,,
,,,,,57.0,male,white,,
,,,,,64.0,female,white,,
,,,,,34.0,male,white,,
